特征,出现文件数,出现比例,平均重要性,中位数重要性,重要性标准差,最大重要性,最小重要性,重要性总和
CountLineComment,8,0.2857142857142857,0.012227182635170943,0.009935570684588751,0.008501722511613588,0.03074098582291108,0.0032686720901464197,0.09781746108136755
CountDeclClassVariable,5,0.17857142857142858,0.011987446244343777,0.004458291985289825,0.015031831739816327,0.041936959767035036,0.0031878976756265416,0.05993723122171889
PercentLackOfCohesion,8,0.2857142857142857,0.011915282481902689,0.005963535175462096,0.010017875376865886,0.029429627030083248,0.0010654575246489659,0.09532225985522151
MINOR_LINE,2,0.07142857142857142,0.01189204579488306,0.01189204579488306,0.002902680506852589,0.01479472630173565,0.008989365288030472,0.02378409158976612
CountDeclMethodPublic,5,0.17857142857142858,0.011415461327177846,0.00833778457447882,0.007846862282738206,0.02697184612078229,0.005578820932346447,0.05707730663588923
CountDeclClass,6,0.21428571428571427,0.010968292047010891,0.003506988670628848,0.014267710418536618,0.04128375611629202,0.0013053776882119015,0.06580975228206534
CountDeclFunction,4,0.14285714285714285,0.010757184568756493,0.011879537676838829,0.0032163914096162796,0.013885047536732928,0.005384615384615384,0.04302873827502597
MaxNesting_Max,6,0.21428571428571427,0.01044981059094417,0.007653059020359619,0.006688885649599338,0.024103311157692753,0.00500059887411666,0.06269886354566502
CountDeclMethodPrivate,6,0.21428571428571427,0.010353152786200526,0.00835277739798992,0.007760817486792927,0.022797421619888535,0.0023498851118849097,0.062118916717203154
AvgCyclomatic,4,0.14285714285714285,0.009918895805612527,0.00979405120040934,0.0032153582892386866,0.014516319772942288,0.005571161048689139,0.03967558322245011
CountDeclMethod,4,0.14285714285714285,0.009825018720229575,0.010568846778399936,0.004330440225264627,0.014597858415333329,0.0035645229087851037,0.0393000748809183
CountDeclMethodProtected,4,0.14285714285714285,0.009809168618383924,0.008508776753904677,0.0031756806703001797,0.015205746189925472,0.0070133747758008656,0.039236674473535696
CountDeclMethodDefault,3,0.10714285714285714,0.00979981131173457,0.006633274311814407,0.007056024738818473,0.019578261947762764,0.0031878976756265416,0.029399433935203712
DDEV,6,0.21428571428571427,0.009638962361000718,0.009783112988379916,0.003193114842538893,0.014583166439691321,0.004864401161997231,0.05783377416600431
MaxInheritanceTree,7,0.25,0.009487168313343628,0.010474155337192086,0.0033971908731337233,0.013931078337858005,0.0035064095365727643,0.06641017819340539
AvgCyclomaticModified,3,0.10714285714285714,0.009405872188714902,0.009189946355407902,0.0015550008604052444,0.011409111744720712,0.007618558466016093,0.02821761656614471
AvgLineComment,2,0.07142857142857142,0.008466178249110962,0.008466178249110962,0.0029937269418640776,0.01145990519097504,0.005472451307246885,0.016932356498221925
CountOutput_Min,4,0.14285714285714285,0.00837784367002421,0.008092395185104469,0.0018062009337756926,0.011172432359671554,0.006154151950216351,0.03351137468009684
CountClassBase,3,0.10714285714285714,0.008127171596344773,0.008326778588522293,0.0028864548680169596,0.011558309949699811,0.004496426250812215,0.02438151478903432
CountInput_Max,10,0.35714285714285715,0.00804499793887651,0.0059654681284775895,0.0061503120083459,0.019728431249103878,0.0017621874482140684,0.0804499793887651
CountDeclInstanceMethod,4,0.14285714285714285,0.007166051898772859,0.006293225284531172,0.0037552087322973164,0.013192309032062501,0.002885447993966588,0.028664207595091435
CountInput_Min,1,0.03571428571428571,0.0022276979126200666,0.0022276979126200666,0.0,0.0022276979126200666,0.0022276979126200666,0.0022276979126200666
